2022,2021,2020,2019,2018,Date,2023,Quality
1139802.47,453720.099,724298.464,22074.446,20643.119,2023/11/25,,
1140256.424,462835.453,724521.518,22074.446,20666.76,2023/11/26,,
1140722.303,480774.821,724746.927,22074.446,20686.817,2023/11/27,,
1141130.152,489844.284,724955.228,22074.446,20705.355,2023/11/28,,
1141522.958,494192.738,725136.784,22074.446,24213.945,2023/11/29,,
1141915.344,496997.212,725298.205,22074.446,34127.899,2023/11/30,,
1142285.198,499066.71,725439.66,22074.446,36174.477,2023/12/01,,
1142627.513,500755.564,725566.93,22074.446,37235.128,2023/12/02,,
1142986.603,502136.931,725689.061,22074.446,37845.688,2023/12/03,,
1143502.546,503312.54,725805.494,22074.446,38223.834,2023/12/04,,
1143916.937,504404.897,725917.42,22074.446,38479.382,2023/12/05,,
1144262.495,505584.735,726025.845,22074.446,38670.102,2023/12/06,,
1144588.451,506605.552,726128.826,22074.446,38826.381,2023/12/07,,
1144905.598,507485.423,726223.69,22074.446,38961.532,2023/12/08,,
1145213.459,508322.997,726312.749,22074.446,39075.183,2023/12/09,,
1145500.771,531253.502,726395.586,22074.446,39170.777,2023/12/10,,
1145758.783,551244.325,726474.356,22074.446,39254.594,2023/12/11,,
1145997.42,556883.508,726550.247,22074.446,39331.129,2023/12/12,,
1146240.631,560431.688,726624.59,22074.446,39414.541,2023/12/13,,
1146496.402,562938.873,726701.46,22074.446,39528.894,2023/12/14,,
1146739.472,564894.527,726782.226,22074.446,39673.781,2023/12/15,,
1146961.434,566495.066,726875.506,22074.446,40183.121,2023/12/16,,
1147168.294,567876.156,726998.744,22074.446,41936.805,2023/12/17,,
1147360.669,569076.391,727487.636,22074.446,43268.141,2023/12/18,,
1147541.858,570138.215,728014.168,22074.446,44000.88,2023/12/19,,
1147714.779,571057.13,728321.168,22074.446,44458.365,2023/12/20,,
1147881.452,571851.254,728583.49,22074.446,44830.592,2023/12/21,,
1148043.076,572544.656,728812.287,22074.446,45148.1,2023/12/22,,
1148204.303,573208.37,729018.723,22074.446,45756.788,2023/12/23,,
1148367.726,573887.001,729207.121,22074.446,47137.805,2023/12/24,,
1148530.362,574538.329,729380.156,22074.446,48055.822,2023/12/25,,
1148684.147,575122.218,729532.312,22074.446,48629.201,2023/12/26,,
1148829.341,576297.325,729726.021,22074.446,49012.199,2023/12/27,,
1148966.182,577452.234,729947.773,22074.446,49286.592,2023/12/28,,
1149094.528,578389.071,730128.412,22074.446,49493.853,2023/12/29,,
1149219.238,579091.395,730284.89,22074.446,49654.666,2023/12/30,,
1149370.314,579658.867,730446.826,22074.446,49780.53,2023/12/31,,
